Name,Value
PzOqRohWw7F7YEPBz6AubA,3.5
qarobAbxGSHI7ygf1f7a_Q,3.5
JxVGJ9Nly2FFIs_WpJvkug,4
Jj7bcQ6NDfKoz4TXwvYfMg,4
4IAzFJ159GEaIGX1-y6Bmw,2.5
JHp5mJvYe6UtM_QsklR-iw,3
507GX11jtCsVYlzaur05_w,4
reMYkuDhLk4raAviOFtvOQ,4
jqZKv-7F54guDLalXEjHxg,3.5
kIco4kv-FHT6QqdkDQ2cow,3.5
AoO0FJyUm01lmIJJTcPWEQ,4
eK6KGMKqU_4nB9RdayZD7Q,3
umdxfhSlk67yGEi8-S-bEg,3
HQFscafV3wi5z4yOKdUGRg,3.5
hBodj_f6adUAnEVUb_he_A,2.5
6ZYt8IChJmH3Ra5IqnlivA,2.5
y8a480EiwWikqlR1inkGxg,3.5
qBc36uFI7orWS8NpYZCv_w,3.5
sH17KGxbMVrlr66n92Qh8g,3
FURgKkRFtMK5yKbjYZVVwA,4
kMxYp2GZL5ic6b05gPP57Q,2
bzXDUQ-5Odzx5WZNoSoANg,4
8HmSt7fRFe-uH6i4yCmJQQ,1
qdA4qiSXjaiuqO4SueH9VA,3.5
3VTBObOAUyDQfpsndTz_pg,3.5
h-9z4dgdEghdPLeDMLpDYA,4
In93N5Jqu85xAh0qQ2jb1w,3.5
nih6RQC-HttWiO28HOcfOA,3.5
h_FP6Lho52MIorjH8GuerQ,3
rSZj7lgBxREaMhGMnjuZ3g,3
kN8792XEJfCtpD5GJLmI6g,4
lnX2gaGdO0fNtykyFrp1AA,3.5
Xn06AozwcTvUPFNkknbgnw,3
WxLMUX59m6sSszVNLnHDEw,3
qAORECtABjr_FsvSzy1apw,3
_dVPzYGXKNg2rIsc40VtyA,2.5
x0NOgX6P4x-82cC0kcO1hg,4
Dim6R6ki5Z_05bk_V1htbQ,3
JUe_TAe9T9MZXutb5fblDg,2.5
lVkDZZ8sTafPlq7f1i5row,4
cfy-C6XNFt-F-dCQfK7EDQ,4
-_JBgygYYD_UkuD-GVTp6A,3.5
LeTMz4hrsdHhiS-vNBj82A,4.5
wzQAmzQopWcfoCG8lfiE_w,3
FG_GRMLSj68ximzfrr9eWw,2.5
jj-K19oswZARMwCQK-b37A,4
mjoxSQR7bFQtlIIjfNfaSQ,4
c1yGkETheht_1vjda7G5sA,4.5
