,business_id,review_count,categories,primary_category_clean,categories_new,city,coordinates.latitude,coordinates.longitude,location.zip_code,stars,neighborhoods,price,oldest_review,std_of_stars,reviews_per_week,median_of_stars,reactions_per_week,stars_linear_coef,restaurant_density,restaurant_similar_density,zreview_count_all,zstar_all,zprice_all,zreview_per_week_all,is_claimed,is_chain,is_closed
0,PzOqRohWw7F7YEPBz6AubA,14,"['Food', 'Bagels', 'Delis', 'Restaurants']",Bagels,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",Glendale,33.71359584,-112.2001253,85310,3.5,[],1,5306,1.27775313,0.002638522,4,0.005465511,-0.001884694,8,3,0.224796152,0,-0.09375,1.448826328,TRUE,TRUE,FALSE
1,qarobAbxGSHI7ygf1f7a_Q,10,"['Sandwiches', 'Restaurants']",Sandwiches,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'delis', 'title': 'Delis'}]",Gilbert,33.3786951,-111.8126925,85233,3.5,[],1,4641,1.333333333,0.001939237,4,0.002370179,-0.002144951,18,11,-0.819547111,-0.005555556,-0.138888889,-0.0926527,TRUE,TRUE,FALSE
2,JxVGJ9Nly2FFIs_WpJvkug,55,"['Pizza', 'Restaurants']",Pizza,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",Scottsdale,33.61746,-111.92626,85254,4,[],2,15974,1.012270398,0.003380493,4,0.005634156,-0.000699451,36,9,-0.167804484,0.066666667,0.048611111,-0.351388441,TRUE,TRUE,FALSE
3,Jj7bcQ6NDfKoz4TXwvYfMg,23,"['Burgers', 'Restaurants']",Burgers,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",Phoenix,33.5669899,-112.1162415,85021,4,[],2,14063,1.203335,0.001635497,4,0.004906492,0.001198034,27,11,-0.179423779,0.051851852,0.105769231,-0.21464859,TRUE,TRUE,FALSE
4,4IAzFJ159GEaIGX1-y6Bmw,3,"['Burgers', 'Fast Food', 'Restaurants']",Burgers,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]",Scottsdale,33.58186722,-111.8816223,85258,2.5,[],1,9905,0.942809042,0.000302877,3,0.007067138,0.000182259,27,17,-0.644300877,-0.17037037,-0.115384615,-0.682170404,FALSE,TRUE,FALSE
5,JHp5mJvYe6UtM_QsklR-iw,9,"['Pizza', 'Restaurants']",Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",Scottsdale,33.46489334,-111.9168015,85257,3,[],2,16114,0.916245695,0.000558521,3,0.001054983,0.000270446,29,8,-0.572179856,-0.113793103,0.055555556,-0.657939982,TRUE,TRUE,FALSE
6,507GX11jtCsVYlzaur05_w,27,"['Chinese', 'Restaurants']",Chinese,"[{'alias': 'chinese', 'title': 'Chinese'}]",Phoenix,33.33194498,-111.9816185,85044,4,[],1,14266,1.301455717,0.001822515,4,0.00343474,-0.000434061,24,1,-0.204699884,0.079166667,-0.145833333,-0.29192802,TRUE,FALSE,FALSE
7,reMYkuDhLk4raAviOFtvOQ,38,"['Burgers', 'Restaurants']",Burgers,"[{'alias': 'burgers', 'title': 'Burgers'}]",Phoenix,33.6095285,-112.1342354,85029,4,[],1,13517,1.024627491,0.002811275,4,0.011467042,-0.000353118,12,3,0.140302256,0.108333333,0,0.023595103,TRUE,TRUE,FALSE
8,jqZKv-7F54guDLalXEjHxg,69,"['Burgers', 'Restaurants']",Burgers,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",Scottsdale,33.62662023,-111.9250245,85260,3.5,[],1,9310,1.028475072,0.007411386,4,0.022663802,8.06E-06,50,19,0.084421298,-0.02,-0.214285714,0.461169309,TRUE,TRUE,FALSE
9,kIco4kv-FHT6QqdkDQ2cow,13,"['American (Traditional)', 'Fast Food', 'Restaurants']",American (Traditional),"[{'alias': 'hotdogs', 'title': 'Fast Food'}]",Scottsdale,33.47971813,-111.9094341,85257,3.5,[],1,14154,1.002954216,0.000918468,4,0.003320616,-0.001032827,18,4,-0.563355892,-0.022222222,-0.132352941,-0.637284646,TRUE,TRUE,FALSE
